Parent	WATOff	Names	Truck	Plant	Stud0	Stud1	Stud2	Stud3	Stud4	Stud5	Stud6	Stud7	Stud8	Stud9	Stud10	Stud11	Stud12	Stud13	Stud14	Stud15	Stud16	Stud17	Stud18	Stud19	Stud20	Mach0	Mach1	Mach2	Mach3	Mach4	Mach5	Mach6	Mach7	Mach8	Mach9	Mach10	Mach11	Mach12	Mach13	Mach14	Mach15	Mach16	Mach17	Mach18	Cour0	Cour1
*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******
S	S	S																								S16																			S	S	
D14,3		R0		S	S3,30	S2,30	S1,30	S0,30	S2,30	S2,30	S1,30	S3,30	S3,30	S2,30	S3,30	S1,30	S0,30	S2,30	S0,30	S3,30	S1,30	S1,30	S0,30	S1,30	S2,30		S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16			
D8,1	W	N5,17	d2,16	G19						V17																	R	r																	T8,5		
			D2,16																																												
			d3,16																																										t9,5		
D7,2	W	N8,9	D3,11										V9															R	r																T9,5		
			d4,11																																												
			U4,7																																										t10,5		
D18,3	W	N7,15	D4,9									V15																	R	r															T10,5		
			d5,9																																												
			U5,11																																										t11,5		
D18,1	W	N6,17	D5,4								V17																			R	r														T11,5		
			d6,4																																												
			U6,25																																										t12,5		
D9,2	C12,5	N9,10	D6,0		L									V10																	R	r													T12,5		
			P19																													R															
		N8,10	d0,19										V10																																t13,5		
D8,2	W		D0,19	P																						r																			T13,5		
		N10,11	d1,19												V11																														t14,5		
D7,2	W		D1,19																							R	r																		T14,5		
		N4,16	d2,19						V16																																				t15,5		
D18,1	W		D2,19	G13																							R	r																	T15,5		
		N11,12	d3,19													V12																													t16,5		
D10,3	W		D3,19																									R	r																T16,5		
			d4,19																																												
		N5,18	U4,4							V18																																			t17,5		
D6,3	C17,5		D4,16		L																								R	r															T17,5		
			d5,16																																												
D0,1		N9,11	U5,9											V11																R	r														t18,5		
	W		D5,14																																										T18,5		
			d6,14																																												
D2,2		N6,18	U6,16								V18																				R	r													t19,5		
	W		D6,5																																										T19,5		
			d7,5																																												
D7,3	T19,21	N13,14	U7,27															V14														R	r														
		N7,16	D7,0									V16																																	t20,5		
D5,1	W																																R												T20,5		
D0,2	T20,21	N14,15																	V15																										t0,21		
D11,3		N10,12													V12																																
D7,3		N15,16	P13																	V16																											
D1,2	W	N16,17	d0,13	P																	V17					r																				T1,5	
			D0,13																																												
D19,1		N8,11	d1,13										V11													R	r																			t2,21	
			D1,13																																												
D2,3	T1,21	N4,17	d2,13	G13					V17																		R	r																			
			D2,13																																												
D18,3		N9,12	d3,13											V12														R	r																		
			D3,13																																												
D10,1		N18,0	d4,13																				V0						R	r																	
			D4,9																																												
			d5,9																																												
D11,2	T18,21	N11,13	U5,6													V13														R	r																
			D5,6																																												
			d6,6																																												
D19,3		N5,0	U6,15							V0																					R	r															
			D6,5																																												
			d7,5																																												
D19,2		N13,15	U7,22															V15														R	r														
D11,2	T5,21	N6,0	D7,0								V0																						R														
D6,2		N7,17										V17																																			
D19,2		N15,17																		V17																											
D13,3		N10,13													V13																																
D6,2		N14,16	P13																V16																												
D3,2		N8,12	d0,13	P									V12													r																					
			D0,13																																												
D12,2	T6,21	N16,18	d1,13																		V18					R	r																				
			D1,13																																												
D9,1		N9,13	d2,13	G8										V13													R	r																			
			D2,13																																												
D7,1		N4,18	d3,13						V18																			R	r																		
			D3,13																																												
D18,2		N11,14	d4,13													V14													R	r																	
			D4,13																																												
			d5,13																																												
D2,3		N13,16	U5,5															V16												R	r																
			D5,12																																												
			d6,12																																												
D0,2		N14,17	U6,15																V17												R	r															
			D6,12																																												
			d7,12																																												
D14,2		N7,18	U7,16									V18																				R	r														
			D7,6																																												
			d8,6																																												
D20,1		N15,18	U8,26																	V18													R	r													
D16,2		N10,14	D8,0												V14																			R													
D12,3		N8,13											V13																																		
D9,1		N16,0	P8																		V0																										
D19,2		N9,14	d0,8	P										V14												r																					
			D0,8																																												
D3,2	T16,21	N4,0	d1,8						V0																	R	r																				
			D1,8	G5																							R																				
D1,3		N11,15	d2,8													V15												r																			
D1,2	T4,21	N13,17	D2,8															V17										R																			
D13,3		N14,18	d3,8																V18																												
D10,3		N8,14	D3,8										V14																r																		
D11,2		N7,0	d4,8									V0																	R																		
D0,2		N10,15	D4,8												V15															r																	
D9,2	T7,21	N15,0	d5,8																	V0										R																	
D15,1		N9,15	U5,5											V15																	r																
	T15,21	N11,16	D5,8																												R																
D12,2		N13,18	d6,8													V16																															
D19,1		N14,0	U6,14															V18														r															
			D6,7																V0													R															
D13,3		N8,15	d7,7																																												
D9,2		N10,16	U7,16										V15																				r														
	T14,21		D7,7												V16																		R														
D5,1		N9,16	d8,7																																												
D2,2		N11,17	U8,20											V16																				r													
			D8,1													V17																		R													
D19,2		N13,0	d9,1																																												
D13,3		N8,16	U9,31															V0																	r												
D9,2		N10,17	D9,0										V16		V17																				R												
D2,1	T13,21	N9,17												V17																																	
D13,3		N11,18														V18																															
D2,2			P5																																												
D13,1		N9,18	d0,5	P										V18												r																					
			D0,5																																												
