Parent	WATOff	Names	Truck	Plant	Stud0	Stud1	Stud2	Stud3	Stud4	Stud5	Stud6	Stud7	Stud8	Stud9	Stud10	Stud11	Stud12	Stud13	Stud14	Stud15	Stud16	Stud17	Stud18	Stud19	Stud20	Mach0	Mach1	Mach2	Mach3	Mach4	Mach5	Mach6	Mach7	Mach8	Mach9	Mach10	Mach11	Mach12	Mach13	Mach14	Mach15	Mach16	Mach17	Mach18	Cour0	Cour1
*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******
S	S	S																								S16																			S	S	
D14,3		R0		S	S3,30	S2,30	S1,30	S0,30	S2,30	S2,30	S1,30	S3,30	S3,30	S2,30	S3,30	S1,30	S0,30	S2,30	S0,30	S3,30	S1,30	S1,30	S0,30	S1,30	S2,30		S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16			
D18,2	W		D17,20						B8																	B2,7																R	r			T4,21	
			d18,20																																											t10,21	
D11,3	W		D18,20												B10											B3,7																	R	r		T10,21	
D14,2	T6,21																																											R		t1,21	
D2,1	T12,21																																														
D20,2			P13																																												
D4,1			d0,13	P																						r																					
			D0,10																																												
D17,2	T10,21		d1,10																							R	r																				
			D1,10																																												
D4,3	T4,21		d2,10	G25																							R	r																			
			D2,10																																												
D17,3			d3,10																									R	r																		
			D3,10																																												
D15,3			d4,10																										R	r																	
			D4,10																																												
D7,3			d5,10																											R	r																
			D5,10																																												
D1,3			d6,10																												R	r															
			D6,10																																												
D14,1			d7,10																													R	r														
			D7,10																																												
D19,2			d8,10																														R	r													
			D8,10																																												
D20,3			d9,10																															R	r												
			D9,10																																												
D8,1			d10,10																																R	r											
			D10,10																																												
D4,2			d11,10																																	R	r										
			D11,10																																												
D18,1			d12,10																																		R	r									
			D12,9																																												
D7,3			d13,9																																			R	r								
			D13,9																																												
D13,2			d14,9																																				R	r							
			D14,9																																												
D10,3			d15,9																																					R	r						
			D15,9																																												
D16,2			d16,9																																						R	r					
			D16,9																																												
D20,1			d17,9																																							R	r				
			D17,9																																												
D4,3			d18,9																																								R	r			
D19,3			D18,9																																									R			
D1,2			P25																																												
D10,2			d0,25	P																						r																					
			D0,25																																												
D5,3			d1,25																							R	r																				
			D1,25																																												
D4,2			d2,25	G11																							R	r																			
			D2,25																																												
D16,3			d3,25																									R	r																T16,21		
			D3,25																																												
D17,2	C16,5		d4,25		L																								R	r																	
			D4,25																																												
			d5,25																																										t15,5		
D10,1	C15,5		D5,25		L																									R	r														T15,5		
D11,2			d6,25																												R	r													t11,5		
	W		D6,25																																										T11,5		
D6,2	T11,21		d7,25																													R	r														
			D7,25																																												
			d8,25																																										t20,21		
D9,3	W		D8,25																						B18		B2,7						R	r											T20,21		
			d9,25																																										t5,5		
D16,1	W																																	R	r										T5,5		
	T5,21		D9,25																						B2		B2,6																				
D3,2			d10,25																																R	r									t7,21		
	W		D10,25																																										T7,21		
D17,3	T20,21		d11,25									B7														B3,7										R	r										
			D11,25																																												
D14,1			d12,25																																		R	r							t19,21		
			D12,25																																												
D3,3			d13,25																																			R	r								
			D13,25																																												
D20,3			d14,25																																				R	r							
			D14,25																																												
D3,1	T7,21		d15,25																																					R	r						
			D15,25																																												
D14,2			d16,25																																						R	r					
			D16,25																																												
D4,1			d17,25																																							R	r				
			D17,25																																												
D15,1			d18,25																																								R	r			
D19,1			D18,25																																									R			
D16,2			P11																																												
			d0,11																																												
D14,1			U0,1	P																						r																					
			D0,11																																												
D13,2			d1,11																							R	r																				
			D1,9																																												
D6,1			d2,9	G15																							R	r																			
			D2,9																																												
D12,3			d3,9																									R	r																		
			D3,9																																												
D3,1			d4,9																										R	r																	
			D4,9																																												
D14,3			d5,9																											R	r																
			D5,9																																												
D16,3			d6,9																												R	r															
			D6,9																																												
D3,2			d7,9																													R	r														
			D7,9																																												
D20,3			d8,9																														R	r													
			D8,9																																												
D12,3			d9,9																															R	r												
			D9,9																																												
D20,2			d10,9																																R	r											
			D10,9																																												
D16,3			d11,9																																	R	r										
			D11,9																																												
D16,1			d12,9																																		R	r									
			D12,9																																												
D1,1			d13,9																																			R	r								
			D13,9																																												
D9,1			d14,9																																				R	r							
			D14,9																																												
D14,2			d15,9																																					R	r						
			D15,9																																												
D0,1			d16,9																																						R	r					
			D16,9																																												
D10,1			d17,9																																							R	r				
			D17,9																																												
D13,2			d18,9																																								R	r			
D14,3			D18,9																																									R			
			P15																																												
D12,2			d0,15	P																						r																					
			D0,14																																												
D12,2			d1,14																							R	r																				
			D1,14																																												
D11,2			d2,14	G10																							R	r																			
			D2,14																																												
D0,2			d3,14																									R	r																		
			D3,14																																												
D0,3			d4,14																										R	r																	
			D4,14																																												
D12,2			d5,14																											R	r																
			D5,14																																												
D16,2			d6,14																												R	r															
			D6,14																																												
D19,3			d7,14																													R	r														
			D7,14																																												
D15,1			d8,14																														R	r													
			D8,14																																												
D8,3			d9,14																															R	r												
			D9,14																																												
D20,2			d10,14																																R	r											
			D10,14																																												
D9,2			d11,14																																	R	r										
			D11,14																																												
D19,1			d12,14																																		R	r									
			D12,14																																												
D15,1			d13,14																																			R	r								
			D13,14																																												
D16,3			d14,14																																				R	r							
			D14,14																																												
D5,2			d15,14																																					R	r						
			D15,14																																												
D4,1			d16,14																																						R	r					
			D16,14																																												
D16,3			d17,14																																							R	r				
			D17,14																																												
D7,2			d18,14																																								R	r			
D8,2			D18,14																																									R			
D3,1																																															
D5,3																																															
D14,2			P10																																												
D16,1			d0,10	P																						r																					
			D0,10																																												
D1,1	W		d1,10																							R	r																			T1,21	
			D1,10																																												
D18,2			d2,10	G16																							R	r																		t13,21	
			D2,10			B18																					B2,7																				
D12,2			d3,10																									R	r																		
			D3,10																																												
D7,1			d4,10			B2																					B2,6		R	r																	
			D4,10																																												
D6,3			d5,10																											R	r																
			D5,10																																												
D14,2			d6,10																												R	r															
			D6,10																																												
D10,1			d7,10																													R	r														
			D7,10																																												
D19,3	W		d8,10																														R	r											T19,21		
			D8,10																																												
D14,3	T1,21		d9,10																					B7		B1,7								R	r												
			D9,10																																												
D7,1			d10,10																																										t3,5		
	W																																		R	r									T3,5		
	T3,21		D10,10																																												
D0,1			d11,10																																	R	r								t18,5		
	W		D11,10																																										T18,5		
D12,2	T18,21		d12,10																																		R	r									
			D12,10																																												
D12,3			d13,10																																			R	r						t6,21		
			D13,10																																												
D8,3			d14,10																																				R	r							
			D14,10																																												
D4,2			d15,10																																					R	r						
			D15,10																																												
D6,1			d16,10																																						R	r					
			D16,10																																												
D18,3			d17,10																																							R	r				
			D17,10																																												
D16,2			d18,10																																								R	r			
D12,1			D18,10																																									R			
D8,2																																															
D16,1																																															
D19,1			P16																																												
D19,1			d0,16	P																						r																					
			D0,15																																												
D5,2			d1,15																							R	r																				
			D1,13																																												
D14,1			d2,13	G15																							R	r																			
			D2,13																																												
D16,3			d3,13																									R	r																		
			D3,13																																												
D9,3			d4,13																										R	r																	
			D4,13																																												
D6,3			d5,13																											R	r																
			D5,13																																												
D5,2			d6,13																												R	r															
			D6,13																																												
D6,3	W		d7,13																													R	r												T6,21		
			D7,13																																												
D11,1			d8,13								B20															B1,7							R	r											t12,21		
	W		D8,13																																										T12,21		
D4,2			d9,13														B20																	R	r			B0,7							t10,21		
	W		D9,13								B4															B1,6																			T10,21		
D5,2			d10,13												B15											B3,7									R	r									t4,21		
			D10,13																																												
D11,3			d11,13																																	R	r										
			D11,13																																												
			d12,13																																												
D13,3	T6,21		U12,1																																		R	r									
			D12,13																																												
D14,1	T10,21		d13,13																																			R	r								
			D13,13														B4																					B0,6									
D12,3			d14,13																																				R	r							
			D14,13																																												
D12,1	T12,21		d15,13																																					R	r						
			D15,13																																												
D10,2			d16,13																																						R	r					
			D16,13																																												
D9,2			d17,13																																							R	r				
			D17,13																																												
D15,2			d18,13																																								R	r			
D7,1			D18,13																																									R			
D16,2																																															
D6,1																																															
D13,3			P15																																												
D13,3	W		d0,15	P																						r																				T13,21	
			D0,12																																												
			d1,12																																											t16,5	
D12,2	W																									R	r																			T16,5	
			D1,12															B7								B2,7																					
			d2,12																																											t15,5	
D15,3	W			G18																							R	r																		T15,5	
	T16,21		D2,12																																												
D3,1			d3,12																									R	r																	t11,21	
	W		D3,12																																											T11,21	
D20,2	T13,21		d4,12																										R	r																	
			D4,12																																												
D12,2	T15,21		d5,12													B10										B1,7				R	r																
			D5,12																																												
D17,3			d6,12																												R	r														t5,21	
			D6,12																																											T5,21	
D10,1	T11,21		d7,12		L																											R	r														
			D7,12																																												
D13,2	C5,5		d8,12																														R	r													
			D8,12																																												
D1,2			d9,12																															R	r											t20,21	
			D9,12																																												
D12,1			d10,12																																R	r											
			D10,12																																												
D0,1			d11,12																																	R	r										
			D11,12																																												
D6,1			d12,12																																		R	r									
			D12,10																																												
D11,1			d13,10																																			R	r								
			D13,10																																												
D5,3			d14,10																																				R	r							
			D14,10																																												
D7,3			d15,10																																					R	r						
			D15,10																																												
D8,2			d16,10																																						R	r					
			D16,10																																												
D19,1			d17,10																																							R	r				
			D17,10																																												
D18,2			d18,10																																								R	r			
D7,3			D18,10																																									R			
D14,3			P18																																												
D7,1			d0,18	P																						r																					
			D0,16																																												
D12,1			d1,16																							R	r																				
			D1,16																																												
D1,3			d2,16	G7																							R	r																			
			D2,16																																												
D15,2			d3,16																									R	r																		
			D3,16																																												
D13,1			d4,16																										R	r																	
			D4,16																																												
D10,3			d5,16																											R	r																
			D5,16																																												
D6,1			d6,16																												R	r															
			D6,16																																												
D7,1			d7,16																													R	r														
			D7,16																																												
D9,1			d8,16																														R	r													
			D8,16																																												
D17,2			d9,16																															R	r												
			D9,16																																												
D19,2			d10,16																																R	r											
			D10,16																																												
D10,1			d11,16																																	R	r										
			D11,16																																												
D19,2			d12,16																																		R	r									
			D12,16																																												
D5,2			d13,16																																			R	r								
			D13,16																																												
D20,2			d14,16																																				R	r							
			D14,16																																												
D19,1			d15,16																																					R	r						
			D15,16																																												
D7,3			d16,16																																						R	r					
			D16,16																																												
D6,3			d17,16																																							R	r				
			D17,16																																												
D0,3			d18,16																																								R	r			
D13,3			D18,16																																									R			
			P7																																												
D17,1			d0,7	P																						r																					
			D0,7																																												
D3,1			d1,7																							R	r																				
			D1,7																																												
D17,3			d2,7	G17																							R	r																			
			D2,7																																												
D18,1			d3,7																									R	r																		
			D3,7																																												
D4,3			d4,7																										R	r															T4,21		
			D4,7																																												
D4,2	C4,5		d5,7		L																									R	r																
			D5,7																																												
			d6,7																																										t7,21		
D3,3	W		D6,7									B12														B3,7					R	r													T7,21		
D14,2			d7,7																													R	r												t1,21		
			D7,7																																												
D20,1	T7,21		d8,7																														R	r													
			D8,7																																												
D10,3			d9,7																															R	r												
			D9,7																																												
D17,3			d10,7																																R	r											
			D10,7																																												
D12,1			d11,7																																	R	r										
			D11,7																																												
D14,3			d12,7																																		R	r									
			D12,7																																												
D18,1			d13,7																																			R	r								
			D13,7																																												
D19,1			d14,7																																				R	r							
			D14,7																																												
D19,2			d15,7																																					R	r						
			D15,7																																												
D15,3			d16,7																																						R	r					
			D16,7																																												
D14,2			d17,7																																							R	r				
			D17,7																																												
D16,2			d18,7																																								R	r			
D20,2			D18,7																																									R			
D17,1																																															
D13,2			P17																																												
D17,1			d0,17	P																						r																					
			D0,16																																												
D4,3			d1,16																							R	r																				
			D1,16																																												
D7,1			d2,16	G19																							R	r																			
			D2,16																																												
D18,2			d3,16																									R	r																		
D0,1			D3,16																										R																		
D14,3			d4,16																											r																	
			D4,16																																												
D5,2			d5,16																											R	r																
			D5,16																																												
D9,2			d6,16																												R	r															
			D6,16																																												
D2,2			d7,16																													R	r														
			D7,16																																												
D15,2			d8,16																														R	r													
			D8,16																																												
D18,3			d9,16																															R	r												
			D9,16																																												
D6,1			d10,16																																R	r											
			D10,16																																												
D15,3			d11,16																																	R	r										
			D11,16																																												
D15,3			d12,16																																		R	r									
			D12,16																																												
D17,2			d13,16																																			R	r								
			D13,16																																												
D3,2			d14,16																																				R	r							
			D14,16																																												
D20,1			d15,16																																					R	r						
			D15,16																																												
D3,3			d16,16																																						R	r					
			D16,16																																												
D15,2			d17,16																																							R	r				
			D17,16																																												
D6,2			d18,16																																								R	r			
D19,1			D18,16																																									R			
			P19																																												
D11,1			d0,19	P																						r																					
			D0,19																																												
D18,1			d1,19																							R	r																				
			D1,19																																												
D1,3			d2,19	G14																							R	r																			
			D2,19																																												
D5,2			d3,19																									R	r																		
			D3,19																																												
D8,2			d4,19																										R	r																	
			D4,19																																												
D7,1			d5,19																											R	r																
			D5,19																																												
D19,1			d6,19																												R	r															
			D6,19																																												
D0,1			d7,19																													R	r														
			D7,19																																												
D3,1			d8,19																														R	r													
			D8,19																																												
D3,3			d9,19																															R	r												
			D9,19																																												
D4,3			d10,19																																R	r											
			D10,19																																												
D19,3			d11,19																																	R	r										
			D11,19																																												
D7,3			d12,19																																		R	r									
			D12,19																																												
D6,2			d13,19																																			R	r								
			D13,19																																												
D2,2			d14,19																																				R	r							
			D14,19																																												
D3,1			d15,19																																					R	r						
			D15,19																																												
D7,2			d16,19																																						R	r					
			D16,19																																												
D8,1			d17,19																																							R	r				
			D17,19																																												
D18,2			d18,19																																								R	r			
D4,2			D18,19																																									R			
			P14																																												
D6,2			d0,14	P																						r																					
			D0,14																																												
D14,3			d1,14																							R	r																				
			D1,14																																												
D20,1			d2,14	G23																							R	r																			
			D2,14																																												
D13,2			d3,14																									R	r																		
			D3,14																																												
D19,1			d4,14																										R	r																	
			D4,14																																												
D0,2			d5,14																											R	r																
			D5,14																																												
D13,3			d6,14																												R	r															
			D6,14																																												
D16,1			d7,14																													R	r														
			D7,14																																												
D20,3	W		d8,14																														R	r												T20,21	
			D8,14																																												
D8,1			d9,14																						B7		B2,7							R	r											t3,21	
			D9,14																																											T3,21	
D19,1	C3,5		d10,14		L																														R	r											
			D10,14																																												
			d11,14																																											t18,21	
D14,2	W		D11,14																				B10			B0,7										R	r									T18,21	
D8,1	T20,21		d12,14																																		R	r								t6,21	
			D12,14																																												
D20,3			d13,14																																			R	r								
			D13,14																																												
D3,3			d14,14																																				R	r							
			D14,14																																												
D13,1			d15,14																																					R	r						
			D15,14																																												
D0,1	T18,21		d16,14																																						R	r					
			D16,14																																												
D2,2			d17,14																																							R	r				
			D17,14																																												
D7,2			d18,14																																								R	r			
D3,1			D18,14																																									R			
D13,1																																															
D11,2			P23																																												
D1,2			d0,23	P																						r																					
			D0,22																																												
D14,2			d1,22																							R	r																				
			D1,21																																												
D17,3			d2,21	G19																							R	r																			
			D2,21																																												
D15,3			d3,21																									R	r																		
			D3,21																																												
D15,1			d4,21																										R	r																	
			D4,21																																												
D0,3			d5,21																											R	r																
			D5,21																																												
D5,2			d6,21																												R	r															
			D6,21																																												
D0,3			d7,21																													R	r														
			D7,21																																												
D6,1			d8,21																														R	r													
			D8,21																																												
D16,2			d9,21																															R	r												
			D9,21																																												
D6,3			d10,21																																R	r											
			D10,21																																												
D10,3			d11,21																																	R	r										
			D11,21																																												
D17,1			d12,21																																		R	r									
			D12,21																																												
D6,3	W		d13,21																																			R	r							T6,21	
			D13,21																																												
D13,1			d14,21								B9															B1,7													R	r						t10,21	
			D14,21																																											T10,21	
D11,1	C10,5		d15,21		L																																			R	r						
			D15,21																																												
			d16,21																																											t12,21	
D8,2	W		D16,21														B9																					B0,7			R	r				T12,21	
			d17,21																																											t16,21	
D4,1			D17,21		L																																					R	r			T16,21	
D3,2	T12,21		d18,21																																								R	r			
D2,3	C16,5		D18,21																																									R			
D1,3	T6,21																																													t13,21	
D3,1	C13,5				L																																									T13,21	
D9,3			P19																																												
			d0,19																																											t15,21	
D3,1	W		D0,18	P																						r																				T15,21	
			d1,18																																											t11,21	
D20,1	W																									R	r																			T11,21	
			D1,18																	B10						B3,7																					
			d2,18																																											t5,5	
D1,1	W		D2,18	G23												B15										B1,7	R	r																		T5,5	
			d3,18																																											t4,5	
D10,3	W																											R	r																	T4,5	
	T5,21		D3,18																																												
D4,1			d4,18																										R	r																t7,21	
			D4,18																																											T7,21	
D20,1	T4,21		d5,18		L																									R	r																
			D5,18																																												
D14,3	C7,5		d6,18																												R	r															
			D6,18																																												
D20,2	T11,21		d7,18																													R	r														
			D7,18																																												
D2,3	T15,21		d8,18																														R	r													
			D8,18																																												
D11,3			d9,18																															R	r											t3,5	
	W		D9,18																																											T3,5	
D14,3	T3,21		d10,18																																R	r											
			D10,18																																												
D10,1			d11,18																																	R	r									t20,21	
			D11,18																																												
D7,3			d12,18																																		R	r									
			D12,17																																												
D2,3			d13,17																																			R	r								
			D13,17																																												
D7,1			d14,17																																				R	r							
			D14,17																																												
D17,3			d15,17																																					R	r						
			D15,17																																												
D10,3			d16,17																																						R	r					
			D16,17																																												
D20,1			d17,17																																							R	r				
			D17,17																																												
D11,1			d18,17																																								R	r			
D7,2			D18,17																																									R			
			P23																																												
D1,2			d0,23	P																						r																					
			D0,21																																												
D0,1			d1,21																							R	r																				
			D1,21																																												
D11,3			d2,21	G16																							R	r																			
			D2,21																																												
D5,1			d3,21																									R	r																		
			D3,21																																												
D15,1			d4,21																										R	r																	
			D4,21																																												
D17,1			d5,21																											R	r																
			D5,21																																												
D17,2			d6,21																												R	r															
			D6,21																																												
D1,3			d7,21																													R	r														
			D7,21																																												
D13,3			d8,21																														R	r													
			D8,21																																												
D9,3			d9,21																															R	r												
			D9,21																																												
D7,2			d10,21																																R	r											
			D10,21																																												
D2,3			d11,21																																	R	r										
			D11,21																																												
D17,1			d12,21																																		R	r									
			D12,21																																												
D9,2			d13,21																																			R	r								
			D13,21																																												
D8,1			d14,21																																				R	r							
			D14,21																																												
D16,3			d15,21																																					R	r						
			D15,21																																												
D7,3			d16,21																																						R	r					
			D16,21																																												
D18,2			d17,21																																							R	r				
			D17,21																																												
D7,3			d18,21																																								R	r			
			D18,21																																									R			
			P16																																												
D0,1			d0,16	P																						r																					
			D0,16																																												
D4,1			d1,16																							R	r																				
			D1,16																																												
D11,1			d2,16	G22																							R	r																			
			D2,16																																												
D17,3			d3,16																									R	r																		
			D3,16																																												
D9,2			d4,16																										R	r																	
			D4,16																																												
D7,1			d5,16																											R	r																
			D5,16																																												
D19,1			d6,16																												R	r															
			D6,16																																												
D4,1			d7,16																													R	r														
			D7,16																																												
D2,3			d8,16																														R	r													
			D8,16																																												
D8,3			d9,16																															R	r												
			D9,16																																												
D17,3			d10,16																																R	r											
			D10,16																																												
D5,2			d11,16																																	R	r										
			D11,16																																												
D16,3			d12,16																																		R	r									
			D12,16																																												
D0,3			d13,16																																			R	r								
			D13,16																																												
D20,3			d14,16																																				R	r							
			D14,16																																												
D9,3			d15,16																																					R	r						
			D15,16																																												
D2,1			d16,16																																						R	r					
			D16,16																																												
D16,3			d17,16																																							R	r				
			D17,16																																												
D5,2			d18,16																																								R	r			
D12,1			D18,16																																									R			
D4,1																																															
D11,2			P22																																												
D8,3			d0,22	P																						r																					
			D0,22																																												
D19,3			d1,22																							R	r																				
			D1,22																																												
D14,2			d2,22	G16																							R	r																			
			D2,22																																												
D16,2			d3,22																									R	r																		
			D3,22																																												
D6,2			d4,22																										R	r																	
			D4,22																																												
D11,3			d5,22																											R	r																
			D5,22																																												
D19,3			d6,22																												R	r															
			D6,22																																												
D10,3			d7,22																													R	r														
			D7,22																																												
D13,3			d8,22																														R	r													
			D8,22																																												
D4,1			d9,22																															R	r												
			D9,22																																												
D0,3			d10,22																																R	r											
			D10,22																																												
D18,3			d11,22																																	R	r										
			D11,22																																												
D20,1			d12,22																																		R	r									
			D12,22																																												
D0,1			d13,22																																			R	r								
			D13,22																																												
D12,2			d14,22																																				R	r							
			D14,22																																												
D5,1			d15,22																																					R	r						
			D15,22																																												
D3,2			d16,22																																						R	r					
			D16,22																																												
D3,3			d17,22																																							R	r				
			D17,22																																												
D4,2			d18,22																																								R	r			
D10,1			D18,22																																									R			
D10,2																																															
D2,2																																															
D3,2			P16																																												
D20,3			d0,16	P																						r																					
			D0,16																																												
D3,1			d1,16																							R	r																				
			D1,16																																												
D4,3			d2,16	G11																							R	r																			
			D2,16																																												
D5,1			d3,16																									R	r																		
			D3,16																																												
D13,1			d4,16																										R	r																	
			D4,16																																												
D3,3			d5,16																											R	r																
			D5,16																																												
D4,2			d6,16																												R	r															
			D6,16																																												
D17,2			d7,16																													R	r														
			D7,16																																												
D3,3			d8,16																														R	r													
			D8,16																																												
D13,3			d9,16																															R	r												
			D9,16																																												
D20,3			d10,16																																R	r											
			D10,16																																												
D6,3			d11,16																																	R	r										
			D11,16																																												
D9,1			d12,16																																		R	r									
			D12,16																																												
D3,1			d13,16																																			R	r								
			D13,16																																												
D13,2			d14,16																																				R	r							
			D14,16																																												
D4,3			d15,16																																					R	r						
			D15,16																																												
D1,3	W		d16,16																																						R	r			T1,21		
			D16,16																																												
D1,3			d17,16			B7																					B2,7															R	r		t18,21		
	W		D17,16																																										T18,21		
D7,2			d18,16																				B15			B0,7																	R	r	t10,5		
D18,3	T18,21		D18,16		L																																							R	T10,5		
D2,1	C10,5		P11																																												
D16,1			d0,11	P																						r																			t12,21		
			D0,10																																												
			d1,10																																												
D11,3			U1,1																							R	r																				
			D1,10																																												
D15,1	T1,21		d2,10	G24																							R	r																			
			D2,10																																												
D8,1			d3,10																									R	r																		
			D3,10																																												
D1,2			d4,10																										R	r																	
			D4,10																																												
D9,1			d5,10																											R	r																
			D5,10																																												
D10,1			d6,10																												R	r															
			D6,10																																												
D19,3			d7,10																													R	r														
			D7,10																																												
D13,1			d8,10																														R	r													
			D8,10																																												
D1,3			d9,10																															R	r												
			D9,10																																												
D11,2			d10,10																																R	r											
			D10,10																																												
D8,1			d11,10																																	R	r										
			D11,10																																												
D7,2			d12,10																																		R	r									
			D12,10																																												
D7,2			d13,10																																			R	r								
			D13,10																																												
D2,2			d14,10																																				R	r							
			D14,10																																												
D15,1			d15,10																																					R	r						
			D15,10																																												
D11,3			d16,10																																						R	r					
			D16,10																																												
D20,2	W		d17,10																																							R	r			T20,21	
			D17,10																																												
D7,1			d18,10																						B12		B2,6																R	r		t16,5	
D9,1	C16,5		D18,10		L																																							R		T16,5	
D3,3																																														t6,21	
D17,2			P24																																												
D18,1	T20,21		d0,24	P																						r																					
			D0,24																																												
D13,1			d1,24																							R	r																				
			D1,22																																												
D2,1			d2,22	G13																							R	r																			
			D2,22																																												
D11,3			d3,22																									R	r																		
			D3,22																																												
D19,1			d4,22																										R	r																	
			D4,22																																												
